author;title;date;lang_TALD;lang_world;branch_TALD;branch_world;url;from_TALD;from_Glottolog;from_Scholar;from_rsl
Abdullaeva F.N.;Репрезентация предложно-послеложных конструкций в религиозном дискурсе английского и рутульского языков;2011;Rutul;Rutul;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01004976980;0;0;0;1
Abdullaeva G.Sh.;Словоизменительные категории существительного в лакском языке;2009;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01004634396;0;0;0;1
Abdullaeva S.Dzh.;Фразеологизмы с качественной характеристикой человека в даргинском и английском языках;2022;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01011114272;0;0;0;1
Abdullaeva Z.R.;Меусишинский говор даргинского языка;2019;Muira;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01008585505;1;0;0;1
Abdulmedzhidova R.A.;Сельскохозяйственная и животноводческая лексика в бежтинском языке;2007;Bezhta;Bezhta;Tsezic;Tsezic;https://search.rsl.ru/ru/record/01003316706;0;0;0;1
Abdulmedzhidova R.A.;Отраслевая лексика бежтинского языка;2014;Bezhta;Bezhta;Tsezic;Tsezic;https://search.rsl.ru/ru/record/01008150781;0;0;0;1
Abdulmuslimova P.M.;Непространственные значения локативных падежей аварского языка;2011;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01005104340;0;0;0;1
Abdulmuslimova P.M. and Mallaeva Z.M.;Синтаксическое употребление суперэссива в аварском языке;2010;Avar;Avar;Avar-Andic;Avar-Andic;;0;0;1;0
Abdulmutalibov N.Sh.;Отглагольные образования в лезгинском языке;1997;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01000208144;0;0;0;1
Abdulmutalibov N.Sh.;Русско-лезгинский разговорник;2005;Lezgian;Lezgian;Lezgic;Lezgic;;1;1;0;0
Abdulzhalilov I.G.;Функциональные особенности арабских элементов в современном литературном аварском языке;2024;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01013400865;0;0;0;1
Abdulzhalilova Kh.I.;Аварская топонимия: структурно-семантический аспект;2006;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01003011350;0;0;0;1
Abdulzhamalov N.A.;Фийский диалект лезгинского языка;1966;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01010464039;0;0;0;1
Abdurakhmanova A.M.;Фонетические и морфологические особенности курушского говора лезгинского языка;2014;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01007533170;1;0;0;1
Abdusalamov A.A.;Категория грамматических классов в даргинском языке (по данным диалектов);1966;Northern Dargwa, Tsudaqar, Usisha-Butri, Hapshima, Muira, Mehweb, Southwestern Dargwa, Sanzhi-Itsari, Kubachi, Kajtak;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01010464724;0;0;0;1
Abdusalamova A.Z.;Сравнительные конструкции в русских и аварских фольклорных текстах;2016;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01008774780;0;0;0;1
Abdusalamova M.M.;Модальность предположения в аварском языке в сопоставлении с германскими языками;2006;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01002882173;0;0;0;1
Abshilov A.;Согратлинский говор;2008;Avar;Avar;Avar-Andic;Avar-Andic;;0;1;0;0
Abubakarova B.M.;Способы передачи аспектуального значения итеративности: На материале современного английского и чеченского языков;1986;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01008555082;0;0;0;1
Abubakarova B.M.;Функционально-семантическое поле итеративности в современном английском и чеченском языках;2013;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01006607854;0;0;0;1
Abueva M.S.-S.;Концептуальная метафора в чеченском языке;2011;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01004929340;0;0;0;1
Abueva M.S.-S.;Когнитивное исследование метафоры в чеченском языке;2013;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01007846111;0;0;0;1
Abueva M.S.-S.;Метафора в политическом тексте;2018;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01010695431;0;0;0;1
Abueva M.S.-S. and Khakieva Z.U. and Tasueva S.I.;Метафора. Метафорическое моделирование в различных пластах лексики (на материале английского, русского и чеченского языков): учебное пособие;2017;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01009623310;0;0;0;1
Abukarov Sh.G.;Тюркские заимствования в лезгинском языке;1997;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01000169554;0;0;0;1
Abukarova D.Sh.;Синонимия азербайджанского, лезгинского и английского языков;2006;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01002934975;0;0;0;1
Abulaysova N.A.;Животноводческая лексика ахвахского языка;2011;Northern Akhvakh, Southern Akhvakh;Akhvakh;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01004953405;0;0;0;1
Abusov M.G. and Saidova P.A.;Ботлихско-русский словарь;2012;Botlikh;Botlikh;Avar-Andic;Avar-Andic;;1;0;0;0
Adilov A.G.;Морфолого-синтаксическая характеристика падежей табасаранского языка;1999;Tabasaran;Tabasaran;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01000218526;0;0;0;1
Adilov A.G.;История родного (табасаранского) языка: учебно-методическое пособие;2024;Tabasaran;Tabasaran;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01013131673;0;0;0;1
Adukhova E.Z.;Структурные типы простого предложения в аварском языке: в сопоставлении с немецким и английским языками;2011;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01004961366;0;0;0;1
Adzhieva I.U.;Соматические фразеологические единицы чеченского и русского языков в сопоставительном аспекте;2013;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01006729176;0;0;0;1
Adzieva Z.Kh.;Субстантивные словосочетания даргинского языка;2006;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01002934976;0;0;0;1
Afraimova P.R.;Способы выражения пространственно-временных отношений в рутульском и английском языках;2015;Rutul;Rutul;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01008063646;0;0;0;1
Agabekov Zh.A.;Животноводческая лексика ахвахского языка: генетическая и предметно-тематическая классификация;2013;Northern Akhvakh, Southern Akhvakh;Akhvakh;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01006696089;0;0;0;1
Agaeva U.D.;Фонетические и морфологические особенности северного диалекта табасаранского языка;2009;Tabasaran;Tabasaran;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01004354268;0;0;0;1
Agamova A.A.;Глагольные словосочетания, выражающие временные отношения в современном русском и лакском языках;2012;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01005497524;0;0;0;1
Agarzaeva B.A.;Сравнительная типология видовых оппозиций русского, лезгинского и английского языков;2011;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01005031753;0;0;0;1
Agarzaeva B.A.;"Лингвокультурологические особенности концептосфер ""Голова"", ""Сердце"", ""Душа"" в лезгинском, английском и русском языках: на материале паремий";2018;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01009801949;0;0;0;1
Ajtberova N.A.;Грамматические категории имени прилагательного аварского языка в сопоставлении с русским;2007;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01003318118;0;0;0;1
Ajtemirova A.Kh.;Функционально-семантическая характеристика послелогов аварского языка и предлогов немецкого языка;2007;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01003321182;1;0;0;1
Ajvazova E.B.;Фонетико-морфологические и лексико-семантические особенности звукоизобразительных слов в лезгинском, азербайджанском и английском языках;2011;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01005400246;0;0;0;1
Akhmedov G.I.;Коммуникативные типы высказываний в языках различного строя: Лезгинские и русский языки;1999;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01000259840;0;0;0;1
Akhmedov G.I.;Коммуникативные типы высказывания в лезгинском языке (в сопоставлении с русским);1999;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01000668083;0;0;0;1
Akhmedov S.Kh.;"Словарь языка повести Курди Закуева ""Обманутая любовь""";2013;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01006690150;0;0;0;1
Akhmedova P.N.;Фонетические и морфологические особенности гебинского говора даргинского языка;2016;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01008540206;0;0;0;1
Akhmedova Z.G.;Губденский говор даргинского языка: фонетические, морфологические и лексические особенности;2007;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01003401379;0;0;0;1
Akhmedova Z.N.;Функционально-семантическая характеристика слов категории Nomina agentis в английском и лезгинском языках;2015;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01008011354;0;0;0;1
Akhmedova Z.N.;Nomina Agentis в английском и лезгинском языках;2018;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01009888942;0;0;0;1
Akhmedova Zh.M.;Грамматическая структура фразеологических единиц южного диалекта ахвахского языка;2003;Southern Akhvakh;Akhvakh;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01002567582;0;0;0;1
Akhmedova Zh.M.;Фразеология ахвахского языка: На материале ратлубского, цегобского и тлянубского говоров;2004;Southern Akhvakh;Akhvakh;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01002738572;0;0;0;1
Akiev A.Sh.;Историко-сравнительная фонетика даргинского и лакского языков: Система консонантизма;1977;Northern Dargwa, Lak;Dargwa, Lak;Dargwic, Lak;Dargwic, Lak;https://search.rsl.ru/ru/record/01007469212;0;0;0;1
Akiev A.Sh.;Историко-сравнительная фонетика лакского и даргинского языков;1987;Northern Dargwa, Lak;Dargwa, Lak;Dargwic, Lak;Dargwic, Lak;https://search.rsl.ru/ru/record/01008511069;0;0;0;1
Akueva A.A.;Причастие в лакском языке;2006;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01003011301;0;0;0;1
Aldieva M.Sh.;Соматическая лексика чеченского языка в сопоставлении с английской;2009;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01004633080;0;0;0;1
Aldieva Z.A.;Антропонимическая лексика чеченского языка;2013;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01006721448;0;0;0;1
Alekseev M.E.;К вопросу о классификации лезгинских языков;1984;Lezgian, Tabasaran, Aghul, Rutul, Tsakhur, Archi, Kryz, Budukh, Udi, Khinalug;Aghul, Archi, Budukh, Khinalug, Kryz, Lezgian, Rutul, Tabasaran, Tsakhur, Udi;Khinalug, Lezgic;Khinalug, Lezgic;;0;0;1;0
Alekseev M.E.;Вопросы сравнительно-исторической грамматики лезгинских языков: морфология, синтаксис;1985;Lezgian, Tabasaran, Aghul, Rutul, Tsakhur, Archi, Kryz, Budukh, Udi, Khinalug;Aghul, Archi, Budukh, Khinalug, Kryz, Lezgian, Rutul, Tabasaran, Tsakhur, Udi;Khinalug, Lezgic;Khinalug, Lezgic;;1;0;1;0
Alekseev M.E.;Структура простого предложения в лезгинских языках;1985;Lezgian, Tabasaran, Aghul, Rutul, Tsakhur, Archi, Kryz, Budukh, Udi, Khinalug;Aghul, Archi, Budukh, Khinalug, Kryz, Lezgian, Rutul, Tabasaran, Tsakhur, Udi;Khinalug, Lezgic;Khinalug, Lezgic;;0;0;1;0
Alekseev M.E.;Сравнительно-историческая грамматика лезгинских языков;1987;Lezgian, Tabasaran, Aghul, Rutul, Tsakhur, Archi, Kryz, Budukh, Udi;Aghul, Archi, Budukh, Kryz, Lezgian, Rutul, Tabasaran, Tsakhur, Udi;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01008512517;0;0;0;1
Alekseev M.E.;Срaвнитeльнo-истoричeская морфология аваро-андийских языков;1988;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01001448303;0;1;0;1
Alekseev M.E.;Budukh;1994;Budukh;Budukh;Lezgic;Lezgic;;1;1;1;0
Alekseev M.E.;Rutul;1994;Rutul;Rutul;Lezgic;Lezgic;;1;1;1;0
Alekseev M.E.;Будухский язык;1994;Budukh;Budukh;Lezgic;Lezgic;;1;0;0;0
Alekseev M.E.;Рутульский язык;1994;Rutul;Rutul;Lezgic;Lezgic;;1;0;0;0
Alekseev M.E.;Андийский язык;1998;Upper Andi;Andi;Avar-Andic;Avar-Andic;;1;0;0;0
Alekseev M.E.;Botlikh;2016;Botlikh;Botlikh;Avar-Andic;Avar-Andic;;1;0;0;0
Alekseev M.E. and Ataev B.M.;Аварский язык;1998;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01000562999;1;1;1;1
Alekseev M.E. and Ataev B.M. and Madieva G.I. and Magomedov M.A. and Magomedov M.I. and Saidova P.A. and Samedov Dzh.S.;Современный аварский язык;2012;Avar;Avar;Avar-Andic;Avar-Andic;;1;1;1;0
Alekseev M.E. and Azaev Kh.G.;Ботлихско-русский словарь;2019;Botlikh;Botlikh;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01010880616;1;0;0;1
Alekseev M.E. and Klimov G.A.;Типология кавказских языков;1980;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01004419397;0;1;1;1
Alekseev M.E. and Radzhabov R.N.;Цезский язык;2004;Tsez;Tsez;Tsezic;Tsezic;;0;1;1;0
Alekseev M.E. and Shejkhov E.M.;Лезгинский язык;1997;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01008034801;0;1;1;1
Alekseev M.E. and Shikhalieva S.Kh.;Табасаранский язык;2003;Tabasaran;Tabasaran;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01002356945;1;1;1;1
Alekseev M.E. and Verhees S.;Botlikh (draft);2021;Botlikh;Botlikh;Avar-Andic;Avar-Andic;;1;0;0;0
Alekseeva A.P. and Beklemishev N. and Daniel M.A. and Dobrushina N.R. and Filatov K. and Ivanova A.D. and Maisak T.A. and Melenchenko M. and Moroz G.A. and Netkachev I. and Sadakov I.;Atlas of Rutul dialects;2023;Rutul;Rutul;Lezgic;Lezgic;;1;0;0;0
Alekseeva A.P. and Ivanova A.D. and Maisak T.A.;ОПЫТ КОМПЛЕКСНОГО ДИАЛЕКТОЛОГИЧЕСКОГО ИССЛЕДОВАНИЯ В ГОРНОМ ДАГЕСТАНЕ: РУТУЛЬСКИЙ ЯЗЫК СКВОЗЬ ПРИЗМУ ДИАЛЕКТНОГО ВАРЬИРОВАНИЯ;2023;Rutul;Rutul;Lezgic;Lezgic;;0;0;1;0
Alekseeva A.P. and Maisak T.A.;ПРОЕКТ ЭЛЕКТРОННОГО СЛОВАРЯ КИНИНСКОГО ГОВОРА РУТУЛЬСКОГО ЯЗЫКА;2024;Rutul;Rutul;Lezgic;Lezgic;;0;1;0;0
Aleksidze Z.;Discovery and Decipherment of Caucasian Albanian Writing;2007;Udi;Udi;Lezgic;Lezgic;;0;1;0;0
Alibegova K.I.;Лексико-семантические и морфологические особенности имени существительного в аварском и русском языках;2016;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01008774429;0;0;0;1
Alibekova P.M.;Аварская лексика в лексикографических трудах Дибир-кади из Хунзаха;2017;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01009629379;0;0;0;1
Alibulatova M.M.;Категория залога в разносистемных языках;2009;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01004343809;0;0;0;1
Alidarova R.I.;Взаимодействие категорий темпоральности, аспекта, акциональности при преобразовании глагольных форм лезгинского и английского языков;2009;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01004315063;0;0;0;1
Alidzhanov T.M.;Сельскохозяйственная (земледельческая) лексика лезгинского литературного языка;2003;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01002621520;0;0;0;1
Alieva A.A.;Сопоставительный анализ коммуникативной структуры повествовательного предложения в даргинском и английском языках;2011;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01005031587;0;0;0;1
Alieva B.M.;Гендерно-обусловленные структурные аспекты стратегии речевого поведения в лакском и английском языках;2009;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01004253337;0;0;0;1
Alieva Dzh.M.-S. Mallaeva Z.M.;Форманты, конституирующие настоящее общее время в аварском языке;2018;Avar;Avar;Avar-Andic;Avar-Andic;;0;0;1;0
Alieva E.N.;Функционально-семантическая категория модальности и ее реализация в разноструктурных языках: на материале русского, английского и лезгинского языков: [диссертация];2010;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01004930305;0;0;0;1
Alieva L.A.;Категория числа в лезгинских языках: На материале лезгинского, табасаранского, агульского, рутульского и цахурского языков;2002;Lezgian, Aghul, Tabasaran, Rutul, Tsakhur;Aghul, Lezgian, Rutul, Tabasaran, Tsakhur;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01002326419;0;0;0;1
Alieva Sh.Z.;Лексические и синтаксические особенности пословиц и поговорок аварского языка;2016;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01008577564;0;0;0;1
Alieva T.M.;"Полисемантизм соматической лексики в разносистемных языках: на материале единиц ""рот"" и ""глаз"" лезгинского, азербайджанского и английского языков";2010;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01004706619;0;0;0;1
Alieva Z.M.;Словообразование в чамалинском языке;2003;Chamalal;Chamalal;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01002920974;0;0;0;1
Alieva Z.M.;Фразеологический и паремиологический словарь чамалинского языка;2023;Chamalal;Chamalal;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01013180409;0;0;0;1
Aligadzhieva A.R.;Лексико-грамматическая организация и синтаксические функции причастий аварского и немецкого языков;2008;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01003541836;0;0;0;1
Aligadzhieva A.R.;Функциональные особенности инфинитных форм глагола в германских и кавказских языках;2019;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01010343780;0;0;0;1
Aligadzhieva A.R. and Magomedova N.A. and Mallaeva Z.M.;Интеркультурные универсалии и идиоэтнические особенности структурирования ПРОСТРАНСТВА (на материале глаголов движения немецкого и аварского языков);2017;Avar;Avar;Avar-Andic;Avar-Andic;;0;0;1;0
Aligadzhieva A.R. and Mallaeva Z.M.;Аспектуально-темпоральная характеристика деепричастия аварского языка;2007;Avar;Avar;Avar-Andic;Avar-Andic;;0;0;1;0
Aligusejnova F.Sh.;Типология отрицания в лезгинском и английском языках;2007;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01003313505;0;0;0;1
Alikhanov S.Z.;Словообразование в аварском языке;1994;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01000172875;0;0;0;1
Alipulatov M.A.;Имя числительное в языках лезгинской группы;1965;Lezgian, Tabasaran, Aghul;Aghul, Lezgian, Tabasaran;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01010471373;0;0;0;1
Alipulatova N.S.;Видо-временная система лезгинского языка в сопоставлении с английской;1997;Lezgian;Lezgian;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01000158189;0;0;0;1
Aliroev I.Yu.;Кистинский диалект чеченского языка;1962;Ingush;Ingush;Nakh;Nakh;https://search.rsl.ru/ru/record/01010822121;0;1;0;1
Aliroev I.Yu.;Сравнительно-сопоставительная лексика нахских языков;1970;Avar, Upper Andi, Lower Andi, Bezhta, Northern Dargwa, Lezgian;Andi, Avar, Bezhta, Dargwa, Lezgian;Avar-Andic, Dargwic, Lezgic, Tsezic;Avar-Andic, Dargwic, Lezgic, Tsezic;https://search.rsl.ru/ru/record/01009928812;0;0;0;1
Aliroev I.Yu.;Фауна Чечено-Ингушетии в вайнахских языках;1970;Chechen, Ingush;Chechen, Ingush;Nakh;Nakh;https://search.rsl.ru/ru/record/01007224751;0;0;0;1
Aliroev I.Yu.;Сравнительно-сопоставительный словарь отраслевой лексики чеченского и ингушского языков и диалектов;1975;Chechen;Chechen;Nakh;Nakh;;0;1;0;0
Aliroev I.Yu.;Нахские языки и культура;1978;Chechen, Ingush, Tsova-Tush;Chechen, Ingush, Tsova-Tush;Nakh;Nakh;https://search.rsl.ru/ru/record/01003349885;0;0;0;1
Aliroev I.Yu.;Чеченский язык;2001;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01000727609;1;1;0;1
Aliroev I.Yu.;Чеченско-русский словарь;2005;Chechen;Chechen;Nakh;Nakh;;1;1;0;0
Alisultanov A.S.;Проблемы базисной лексики русского, английского и рутульского языков: на материале глаголов;1986;Rutul;Rutul;Lezgic;Lezgic;https://search.rsl.ru/ru/record/01008638667;0;0;0;1
